device=cuda  arch=both  op=mul  smoke=False
hidden=96 mem=40x12 steps=40000 seeds=3 train_w=[1, 2, 3, 4, 5, 6] test_w=[4, 6, 8, 10, 12, 16, 20]

  [baseline] seed 0  params=35338
    step  25500  loss 0.2814  (947s)
    step  26000  loss 0.0004  (967s)
    step  26500  loss 0.0003  (985s)
    step  27000  loss 0.1761  (1004s)
    step  27500  loss 0.0003  (1022s)
    step  28000  loss 0.9286  (1041s)
    step  28500  loss 0.1598  (1059s)
    step  29000  loss 1.2657  (1078s)
    step  29500  loss 1.2432  (1096s)
    step  30000  loss 1.6076  (1115s)
    step  30500  loss 1.2388  (1133s)
    step  31000  loss 1.6028  (1152s)
    step  31500  loss 0.0001  (1170s)
    step  32000  loss 1.6117  (1189s)
    step  32500  loss 0.8972  (1208s)
    step  33000  loss 1.2449  (1226s)
    step  33500  loss 1.2214  (1245s)
    step  34000  loss 1.2348  (1264s)
    step  34500  loss 1.2428  (1283s)
    step  35000  loss 0.0003  (1301s)
    step  35500  loss 0.1206  (1320s)
    step  36000  loss 0.0002  (1338s)
    step  36500  loss 1.2957  (1357s)
    step  37000  loss 1.4622  (1376s)
    step  37500  loss 0.8862  (1394s)
    step  38000  loss 0.0004  (1413s)
    step  38500  loss 0.2112  (1432s)
    step  39000  loss 1.6312  (1450s)
    step  39500  loss 0.0002  (1468s)
    step  40000  loss 0.0003  (1484s)
  [memory] seed 1 len-gen: w4:0.000  w6:0.000  w8:0.000  w10:0.000  w12:0.000  w16:0.000  w20:0.000

  [memory] seed 2  params=41533
    step      1  loss 2.2992  (0s)
    step    500  loss 1.9119  (14s)
    step   1000  loss 1.9821  (26s)
    step   1500  loss 1.1803  (37s)
    step   2000  loss 0.0087  (49s)
    step   2500  loss 1.8666  (61s)
    step   3000  loss 1.6181  (74s)
    step   3500  loss 1.7548  (86s)
    step   4000  loss 1.5968  (98s)
    step   4500  loss 0.0021  (110s)
    step   5000  loss 1.2925  (122s)
    step   5500  loss 1.9380  (134s)
    step   6000  loss 1.8363  (146s)
    step   6500  loss 1.4938  (158s)
    step   7000  loss 1.6888  (171s)
    step   7500  loss 1.6750  (183s)
    step   8000  loss 1.7740  (195s)
    step   8500  loss 1.7500  (208s)
    step   9000  loss 1.6147  (219s)
    step   9500  loss 1.4265  (232s)
    step  10000  loss 0.4586  (244s)
    step  10500  loss 0.0007  (256s)
    step  11000  loss 2.0432  (269s)
    step  11500  loss 0.0010  (281s)
    step  12000  loss 1.4014  (293s)
    step  12500  loss 0.0007  (305s)
    step  13000  loss 0.0011  (317s)
    step  13500  loss 1.0446  (330s)
    step  14000  loss 1.6722  (343s)
    step  14500  loss 1.0256  (355s)
    step  15000  loss 1.5490  (368s)
    step  15500  loss 1.3385  (380s)
    step  16000  loss 1.6541  (392s)
    step  16500  loss 1.3398  (404s)
    step  17000  loss 0.9741  (416s)
    step  17500  loss 1.3081  (429s)
    step  18000  loss 0.0003  (441s)
    step  18500  loss 1.5204  (453s)
    step  19000  loss 1.4892  (465s)
    step  19500  loss 1.6558  (477s)
